Username,Text,Hashtags,Followers,Friends
LiberatedCit," After Shutting Down His Campaign For the Day, Joe #Biden Lashes Out at President #Trump For Holding #Rallies in #Nevada T…","['Biden', 'Trump', 'Rallies', 'Nevada']",41928,40969
doctoramoray, Black Lives Matter.... but cop’s lives don’t. #BLM #BLMAntifaTerroristsThugs,"['BLM', 'BLMAntifaTerroristsThugs']",443,596
les_deplorable,@realDonaldTrump #BlackLivesMatter use #ActBlue ......funneled to #DNC,"['BlackLivesMatter', 'ActBlue', 'DNC']",12069,11329
thebookofallen,I did mention on Twitter that you can buy entire towns in the South for around a million dollars,,75,134
ronmolina, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",15427,16084
DougFarmer15, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",2412,3687
DavidKaraian, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",2721,2232
BobSmit20446529," - Breonna Taylor 
- Elijah McClain 
- Ahmaud Arbery 
- Trayvon Martin 
- George Floyd 
- Philando Castile
- Tamir Rice…",,99,49
fhsheridan, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",329,1532
MSMParish, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",1045,147
rdclark5, California is the new Sodom and Gomorrah. I am waiting for California to fall into the ocean!  #ChildrensLivesMatter  #Sa…,['ChildrensLivesMatter'],308,435
ProudOfMyUSA, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",1264,1698
tyrelle123," As I wrote in March-the creator of the PCR Test said it was not be used for diagnostics or Covid, because it is incapa…",,3369,3680
1Cali_Girl1, Every election cycle #Democrats and their #Antifa and #BLM funded agitators gin up hatred of the police to get votes. W…,"['Democrats', 'Antifa', 'BLM']",449,885
amazedol," We’ve been heard. Remember that is is a movement, not a moment. Keep fighting the good fight. #BlackLivesMatter",['BlackLivesMatter'],135,286
